url_id,business_function,title,indexable,rag_index_mode,quality_status,quality_reasons,content_chars,faq_count,table_count,action_count,attachment_count,pagination_detected,pagination_is_complete,pagination_page_count,excluded_content_count
DP-001,예금자보호제도,보호한도,True,full,pass,,1118,0,0,0,0,False,True,1,0
DP-002,예금자보호제도,예금자보호제도,True,full,pass,,740,0,0,0,0,False,True,1,0
DP-003,예금자보호제도,보호대상 > 금융회사 > 개요,True,full,pass,,1077,0,1,2,3,False,True,1,0
DP-004,예금자보호제도,보호대상 > 금융상품 > 개요,True,full,pass,,2536,0,1,0,0,False,True,1,0
DP-005,예금자보호제도,"고객센터 > FAQ > 미수령금통합신청(사이트 분류상 명칭, 실제 내용은 예금보호)",True,full,pass,,12633,38,0,0,0,True,True,4,0
DP-006,예금자보호제도,예금자보호제도 FAQ,True,full,pass,,3983,17,0,0,0,False,True,1,0
DP-007,예금자보호제도,예금자보호한도(해외),True,reference,pass,,317,0,1,0,0,False,True,1,0
BI-001,예금보험금 안내,예금보험금 안내 > 신청시 구비서류,True,full,pass,,2334,0,1,10,10,False,True,1,0
BI-002,예금보험금 안내,예금보험금 신청 절차 > 예금보험금 신청절차,True,full,pass,,1194,0,0,1,0,False,True,1,0
BI-003,예금보험금 안내,예금보험금이란?,True,full,pass,,2358,0,0,1,0,False,True,1,0
BI-004,예금보험금 안내,예금보험금 안내 > 보험금 지급대상 금융회사,True,full,pass,,2568,0,1,1,0,True,True,5,0
UN-001,고객 미수령금 신청,미수령금 통합조회/신청 > 고객미수령금,True,full,pass,,660,0,0,3,0,False,True,1,0
UN-002,고객 미수령금 신청,미수령금통합신청 > 소개와 신청방법 안내 > 예금자 대상 전화문의 안내,True,full,pass,,579,0,0,0,0,False,True,1,0
UN-003,고객 미수령금 신청,미수령금통합신청 > 소개와 신청방법 안내 > 안내,True,full,pass,,978,0,0,2,0,False,True,1,0
UN-004,고객 미수령금 신청,미수령금 통합조회/신청 > 상속인 금융거래조회,True,full,pass,,1213,0,0,1,0,False,True,1,0
MT-001,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 제도란,True,full,pass,,108,0,0,0,0,False,True,1,0
MT-002,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 절차,True,full,pass,,601,0,0,0,0,False,True,1,0
MT-003,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 신청방법,True,full,pass,,250,0,0,2,0,False,True,1,0
MT-004,착오송금 반환 신청,고객센터 > FAQ > 착오송금반환지원신청,True,full,pass,,2232,12,0,0,0,True,True,2,0
MT-005,착오송금 반환 신청,고객센터 > FAQ > TOP 10,True,full,pass,,1764,10,0,0,0,False,True,1,0
MT-006,착오송금 반환 신청,착오송금반환지원 > 착오송금수취인 > 유의사항,True,full,pass,,688,0,0,1,0,False,True,1,0
MT-007,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 구비서류안내 > 착오송금수취인,True,full,pass,,564,0,1,4,4,False,True,1,0
MT-008,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 구비서류안내 > 착오송금인,True,full,pass,,3702,0,5,20,20,False,True,1,0
MT-009,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 반환지원절차,True,filtered,pass,,2017,0,0,0,0,False,True,1,1
MT-010,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 관련법령 및 규정,True,full,pass,,310,0,0,2,0,False,True,1,0
MT-011,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 상황선택,True,public_only,pass,,125,0,0,3,0,False,True,1,0
MT-012,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 방문접수안내,True,full,pass,,674,0,0,4,2,False,True,1,0
MT-013,착오송금 반환 신청,착오송금반환지원 > 착오송금인 > 유의사항,True,full,pass,,2312,0,2,0,0,False,True,1,0
MT-014,착오송금 반환 신청,착오송금반환지원 > 착오송금인 > 반환지원 신청하기 > 신청대상여부 확인,True,public_only,review,예상 Action 링크 미검출,960,0,1,0,0,False,True,1,0
MT-015,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 신청대상,True,full,pass,,417,0,0,0,0,False,True,1,0
DA-001,채무조정 안내,채무조정 재기지원 > 채무조정제도,True,full,pass,,1581,0,1,1,0,False,True,1,0
DA-002,채무조정 안내,채무조정 재기지원 > 채무정보 조회 ＆ 상담신청,True,public_only,pass,,299,0,0,1,0,False,True,1,0
DA-003,채무조정 안내,채무조정,True,full,pass,,1672,0,2,0,0,False,True,1,0
DA-004,채무조정 안내,채무조정 재기지원 > 신용회복 지원,True,full,pass,,2307,0,1,0,0,False,True,1,0
DA-005,채무조정 안내,채무조정 재기지원 > 파산면책,True,full,pass,,2988,0,0,0,0,False,True,1,0
DA-006,채무조정 안내,채무조정 재기지원 > 개인회생,True,full,pass,,1848,0,3,0,0,False,True,1,0
DA-007,채무조정 안내,지원자금관리 > 부채증명원/금융거래정보신청,True,public_only,pass,,1019,0,1,4,5,False,True,1,0
DA-008,채무조정 안내,고객센터 > FAQ > 채무정보조회,True,full,pass,,1022,7,0,0,0,False,True,1,0
HP-001,은닉재산 신고,지원자금관리 > 부실책임조사 > 금융부실관련자 은닉재산신고 > 신고센터,True,full,pass,,1952,0,3,2,0,False,True,1,0
HP-002,은닉재산 신고,고객센터 > FAQ > 은닉재산신고,True,full,pass,,2655,12,0,0,0,True,True,2,0
