item_no,url_id,business_function,target_business_function,page_title,source_url,site_name,original_priority,normalized_decision,decision_reason,page_type,fetch_strategy,parser_profile,auth_required,asset_policy,content_scope,review_required,crawl_wave,crawl_status,expected_output,need_reason,content_summary,notes
1,DP-001,예금자보호제도,예금자보호제도,보호한도,https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 URL,1인당 예금보호한도 1억원과 초과금액 비보호 원칙 설명,
2,DP-002,예금자보호제도,예금자보호제도,예금자보호제도,https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능1 대표항목과 개념 일치,예금보험공사가 보험료를 적립해 두었다가 금융회사 대신 예금을 지급하는 원리 설명,
3,DP-003,예금자보호제도,예금자보호제도,보호대상 > 금융회사 > 개요,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 URL,예금보호 대상 금융회사 종류(은행·보험사·투자매매업자 등) 나열,
4,DP-004,예금자보호제도,예금자보호제도,보호대상 > 금융상품 > 개요,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 URL,예금보호 대상 금융상품과 비대상 상품(투자신탁 등)의 구분 기준 설명,
5,DP-005,예금자보호제도,예금자보호제도,"고객센터 > FAQ > 미수령금통합신청(사이트 분류상 명칭, 실제 내용은 예금보호)",https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,faq,requests_html,fins_faq_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능1(보호한도·보호대상)과 개념 일치,"예금보호한도, 계열 저축은행 분산예금 보호, 영업정지 후 예금인출 절차를 다룬 FAQ",
6,DP-006,예금자보호제도,예금자보호제도,예금자보호제도 FAQ,https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do,예금보험공사,수집,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,faq,requests_html,kdic_faq_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능1과 주제는 같지만 2025년 한도 상향 등 예솜24에 없던 최신 사례를 다룸,2025년 9월 예금보호한도 상향 등 최신 FAQ 사례를 담음,
7,DP-007,예금자보호제도,예금자보호제도,예금자보호한도(해외),https://www.kdic.or.kr/di/bzpblnt/selectPbcrPblntProtLmtsOvrs.do,예금보험공사,exclude,exclude,해외 비교자료로 6개 핵심 업무의 직접 답변 근거가 아님,reference_comparison,exclude,skip,no,none,none,no,SKIP,skipped_by_policy,수집하지 않음,예솜24에 없던 해외 비교 자료,미국·캐나다·일본·영국·독일의 예금보호한도를 비교한 표,
8,BI-001,예금보험금 안내,예금보험금 안내,예금보험금 안내 > 신청시 구비서류,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 2.1 신청서류 항목과 개념 일치,본인·대리인·미성년자 등 신청인 유형별 구비서류 안내,
9,BI-002,예금보험금 안내,예금보험금 안내,예금보험금 신청 절차 > 예금보험금 신청절차,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,process_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 2.2 신청 절차 항목과 개념 일치,보험사고 발생부터 지급공고·신청·지급까지의 절차 설명,
10,BI-003,예금보험금 안내,예금보험금 안내,예금보험금이란?,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능2 대표항목과 개념 일치,예금보험금(가지급금·개산지급금)의 정의 설명,
11,BI-004,예금보험금 안내,예금보험금 안내,예금보험금 안내 > 보험금 지급대상 금융회사,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystBamtGiveTrgtFnst.do,예금보험공사,부분수집 권장,include_partial,조회 조건·페이지네이션 요청을 분석한 뒤 공개 결과만 부분 수집,dynamic_lookup,dynamic_http_then_playwright,kdic_dynamic_lookup_v1,no,none,query_results,yes,W2_DYNAMIC,not_tested,공개 범위 원본/결과 + 메타데이터,"예솜24 기능2와 주제는 같지만, 파산금융회사별 검색 기능은 예솜24에 없던 내용",파산금융회사별 예금보험금 지급대상 여부 검색 가능,
12,UN-001,고객 미수령금 신청,고객 미수령금 신청,미수령금 통합조회/신청 > 고객미수령금,https://www.kdic.or.kr/sp/dpstrprot/ProtSystNramtInqAplyNramtGudn/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능3 대표항목과 제목·개념 일치,미수령금의 정의와 인터넷·방문 신청 방법 안내,
13,UN-002,고객 미수령금 신청,고객 미수령금 신청,미수령금통합신청 > 소개와 신청방법 안내 > 예금자 대상 전화문의 안내,https://fins.kdic.or.kr/ua/aplygudn/DpstrTrgtTelQustGudn/selectScrn.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,fins_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 3.2 방문 신청 항목과 유사한 전화 문의 채널,명의 변경 시 문의 방법과 미수령금 관련 전화상담 안내를 담음,
14,UN-003,고객 미수령금 신청,고객 미수령금 신청,미수령금통합신청 > 소개와 신청방법 안내 > 안내,https://fins.kdic.or.kr/ua/aplygudn/NramtItgrAplyItrdMthdGudn/selectScrn.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,fins_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능3 대표항목 및 3.1·3.2 신청방법 항목과 개념 일치,미수령금 종류와 온라인·오프라인 신청 방법 설명,
15,UN-004,고객 미수령금 신청,고객 미수령금 신청,미수령금 통합조회/신청 > 상속인 금융거래조회,https://www.kdic.or.kr/sp/dpstrprot/ProtSystHrpeHistInq/selectScrn.do,예금보험공사,수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,"예솜24 기능3과 주제는 같지만, 상속인 대상 조회 기능은 예솜24에 없던 내용",사망자(피상속인) 명의 미수령금을 상속인이 조회하는 서비스,
16,MT-001,착오송금 반환 신청,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 제도란,https://www.kdic.or.kr/sp/kmrs/kmrsItrd/selectScrn.do,예금보험공사,필수(영상 데이터),include_full,본문은 수집하고 영상은 URL·제목·설명 메타데이터 우선,video_page,requests_html_assets,kdic_static_v1,no,video_metadata,body_plus_asset_metadata,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능4 대표항목과 개념 일치,착오송금 반환지원 제도의 취지와 개요 설명,
17,MT-002,착오송금 반환 신청,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 절차,https://www.kdic.or.kr/sp/kmrs/kmrsItrdProc/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,process_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 4.1 반환지원 절차 항목과 문구가 거의 동일,신청부터 회수·반환까지 5단계 절차 설명,
18,MT-003,착오송금 반환 신청,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 신청방법,https://www.kdic.or.kr/sp/kmrs/kmrsItrdAplyMthd/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 4.2 신청방법 항목과 개념 일치,인터넷·방문 신청 방법과 접수처 안내,
19,MT-004,착오송금 반환 신청,착오송금 반환 신청,고객센터 > FAQ > 착오송금반환지원신청,https://fins.kdic.or.kr/cm/bbs/selectFaqMsdrGvbkAply.do,금융안심포털,exclude,exclude,현재 조사 결과에서 범위 제외로 결정됨,faq,exclude,skip,no,none,none,no,SKIP,skipped_by_policy,수집하지 않음,예솜24 4.1·4.2 항목과 개념이 일치하며 실무 세부사항 보강,대상금액·기간·제외사유 등 착오송금 반환지원 FAQ를 담음,
20,MT-005,착오송금 반환 신청,착오송금 반환 신청,고객센터 > FAQ > TOP 10,https://fins.kdic.or.kr/cm/bbs/selectFaqTop10.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,faq,requests_html,fins_faq_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 착오송금반환지원 절차 항목과 개념 일치,착오송금 반환지원 관련 최다조회 질문 10건 요약,
